config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,total_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
rq-simple-redis,rq,redis-simple,noop,1000,4,3,0.572,1749.6,1.113,898.3,298.7,518.3,538.6,298.7,4
rq-simple-redis,rq,redis-simple,noop,5000,1,1,2.406,2078.3,17.258,289.7,7480.1,14142.1,14713.0,7480.1,1
rq-simple-redis,rq,redis-simple,noop,5000,1,2,2.239,2233.2,16.874,296.3,7532.1,13919.6,14487.6,7532.1,1
rq-simple-redis,rq,redis-simple,noop,5000,1,3,2.159,2315.8,17.067,293.0,7474.5,14104.6,14760.4,7474.5,1
rq-simple-redis,rq,redis-simple,noop,5000,2,1,2.525,1980.5,9.306,537.3,3628.2,6456.3,6717.9,3628.2,2
rq-simple-redis,rq,redis-simple,noop,5000,2,2,2.512,1990.4,8.873,563.5,3370.2,6052.8,6299.6,3370.2,2
rq-simple-redis,rq,redis-simple,noop,5000,2,3,2.421,2065.2,9.325,536.2,3574.7,6594.8,6843.5,3574.7,2
rq-simple-redis,rq,redis-simple,noop,5000,4,1,2.794,1789.4,5.722,873.8,1538.5,2810.5,2907.1,1538.5,4
rq-simple-redis,rq,redis-simple,noop,5000,4,2,2.723,1836.5,5.44,919.1,1421.1,2573.9,2688.1,1421.1,4
rq-simple-redis,rq,redis-simple,noop,5000,4,3,2.868,1743.3,5.564,898.6,1521.3,2579.5,2673.2,1521.3,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,1,0.447,2237.1,52.936,18.9,26255.0,49920.7,51988.9,26209.7,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,2,0.432,2315.2,52.753,19.0,26215.8,49539.4,51738.5,26170.6,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,3,0.422,2371.5,52.555,19.0,26119.8,49593.8,51621.4,26074.3,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,1,0.471,2122.0,28.05,35.7,13902.0,26187.5,27306.2,13853.9,2
