config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,4,2,4.859,205.8,14.3,69.9,54.15,56.53,57.32,3.98,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,4,3,5.119,195.4,14.56,68.7,54.44,56.57,57.09,4.25,4
rq-redis,rq,redis,noop,1000,1,1,0.48,2082.9,76.035,13.2,73.0,88.72,90.21,73.0,1
rq-redis,rq,redis,noop,1000,1,2,0.39,2566.8,75.79,13.2,71.92,75.19,76.32,71.92,1
rq-redis,rq,redis,noop,1000,1,3,0.5,1998.2,76.219,13.1,72.35,83.66,88.21,72.35,1
rq-redis,rq,redis,noop,1000,2,1,0.448,2231.3,40.243,24.8,72.07,89.0,89.44,72.07,2
rq-redis,rq,redis,noop,1000,2,2,0.423,2365.5,40.466,24.7,72.07,80.16,86.88,72.07,2
rq-redis,rq,redis,noop,1000,2,3,0.381,2625.7,40.501,24.7,72.11,76.65,78.34,72.1,2
rq-redis,rq,redis,noop,1000,4,1,0.42,2381.8,22.079,45.3,71.55,74.98,78.99,71.55,4
rq-redis,rq,redis,noop,1000,4,2,0.421,2375.0,22.237,45.0,72.66,89.09,89.73,72.66,4
rq-redis,rq,redis,noop,1000,4,3,0.401,2496.2,22.194,45.1,71.63,79.71,81.0,71.63,4
rq-redis,rq,redis,cpu_small,500,1,1,0.215,2321.2,72.455,6.9,140.3,150.79,156.93,73.74,1
rq-redis,rq,redis,cpu_small,500,1,2,0.211,2365.5,72.187,6.9,142.46,168.35,174.15,73.9,1
rq-redis,rq,redis,cpu_small,500,1,3,0.218,2294.4,72.357,6.9,140.99,149.02,164.77,73.47,1
rq-redis,rq,redis,cpu_small,500,2,1,0.225,2220.1,38.669,12.9,139.84,170.46,171.79,72.11,2
rq-redis,rq,redis,cpu_small,500,2,2,0.222,2251.0,38.85,12.9,139.58,152.57,158.64,72.08,2
rq-redis,rq,redis,cpu_small,500,2,3,0.205,2442.8,38.516,13.0,139.91,150.91,161.84,72.0,2
rq-redis,rq,redis,cpu_small,500,4,1,0.208,2401.3,21.238,23.5,139.56,153.76,162.89,72.45,4
rq-redis,rq,redis,cpu_small,500,4,2,0.204,2449.6,21.18,23.6,139.52,146.84,166.94,72.33,4
rq-redis,rq,redis,cpu_small,500,4,3,0.205,2437.3,21.296,23.5,140.04,172.62,175.33,72.27,4
rq-redis,rq,redis,io_sleep,500,1,1,0.203,2468.0,66.594,7.5,125.62,131.18,136.12,75.41,1
rq-redis,rq,redis,io_sleep,500,1,2,0.199,2510.4,66.867,7.5,126.18,133.83,139.66,75.95,1
rq-redis,rq,redis,io_sleep,500,1,3,0.241,2071.0,67.028,7.5,126.87,142.01,154.23,76.72,1
rq-redis,rq,redis,io_sleep,500,2,1,0.227,2200.7,33.961,14.7,125.61,129.48,130.75,75.37,2
rq-redis,rq,redis,io_sleep,500,2,2,0.215,2326.2,32.77,15.3,125.72,139.93,145.29,75.51,2
rq-redis,rq,redis,io_sleep,500,2,3,0.218,2290.2,33.634,14.9,124.53,148.02,149.51,74.42,2
rq-redis,rq,redis,io_sleep,500,4,1,0.215,2321.9,17.324,28.9,124.78,130.66,136.12,74.64,4
rq-redis,rq,redis,io_sleep,500,4,2,0.239,2093.4,17.293,28.9,125.48,141.84,146.21,75.25,4
rq-redis,rq,redis,io_sleep,500,4,3,0.205,2434.7,17.171,29.1,125.46,133.2,143.29,75.3,4
rq-simple-redis,rq,redis-simple,noop,5000,1,1,1.905,2624.4,16.859,296.6,3.38,5.85,7.26,3.38,1
rq-simple-redis,rq,redis-simple,noop,5000,1,2,1.948,2566.9,16.899,295.9,3.16,4.31,4.43,3.16,1
rq-simple-redis,rq,redis-simple,noop,5000,1,3,2.064,2421.9,17.033,293.6,3.34,3.92,4.36,3.34,1
rq-simple-redis,rq,redis-simple,noop,5000,2,1,1.904,2626.6,9.059,551.9,3.66,4.14,16.18,3.66,2
rq-simple-redis,rq,redis-simple,noop,5000,2,2,1.962,2548.0,9.11,548.8,3.33,3.92,4.01,3.33,2
rq-simple-redis,rq,redis-simple,noop,5000,2,3,1.918,2607.1,9.136,547.3,3.94,4.6,4.6,3.94,2
